/home/apiasecz/.conda/envs/cent7/2024.02-py311/cog_fl_llm_env/lib/python3.12/site-packages/torch/nn/modules/conv.py:456: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return F.conv2d(input, weight, bias, self.stride,
seed: 3
policy_id: 1
setting_id: 7
pi_bar: 0.1
drift_rate: 0.01
V: 5.5
No available target samples left. Reusing existing target indices.
Round 159: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 160: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 161: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 162: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 163: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 164: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 165: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 166: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Epoch 1/5, Loss: 0.4567
Epoch 2/5, Loss: 0.4049
Epoch 3/5, Loss: 0.4261
Epoch 4/5, Loss: 0.4055
Epoch 5/5, Loss: 0.3524
Round 167: Accuracy = 0.7419, Decision = True
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 168: Accuracy = 0.7338, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 169: Accuracy = 0.7338, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 170: Accuracy = 0.7338, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 171: Accuracy = 0.7338, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 172: Accuracy = 0.7338, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 173: Accuracy = 0.7338, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 174: Accuracy = 0.7338, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Epoch 1/5, Loss: 0.3449
Epoch 2/5, Loss: 0.3896
Epoch 3/5, Loss: 0.3933
Epoch 4/5, Loss: 0.3825
Epoch 5/5, Loss: 0.3759
Round 175: Accuracy = 0.7338, Decision = True
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 176: Accuracy = 0.7231, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 177: Accuracy = 0.7231, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 178: Accuracy = 0.7231, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 179: Accuracy = 0.7231, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 180: Accuracy = 0.7231, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 181: Accuracy = 0.7231, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 182: Accuracy = 0.7231, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 183: Accuracy = 0.7231, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 184: Accuracy = 0.7231, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 185: Accuracy = 0.7231, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Epoch 1/5, Loss: 0.3433
Epoch 2/5, Loss: 0.3431
Epoch 3/5, Loss: 0.3143
Epoch 4/5, Loss: 0.3284
Epoch 5/5, Loss: 0.3063
Round 186: Accuracy = 0.7231, Decision = True
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Epoch 1/5, Loss: 0.3140
Epoch 2/5, Loss: 0.3323
Epoch 3/5, Loss: 0.3238
Epoch 4/5, Loss: 0.3077
Epoch 5/5, Loss: 0.2787
Round 187: Accuracy = 0.7842, Decision = True
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 188: Accuracy = 0.7978, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 189: Accuracy = 0.7978, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 190: Accuracy = 0.7978, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 191: Accuracy = 0.7978, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 192: Accuracy = 0.7978, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 193: Accuracy = 0.7978, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 194: Accuracy = 0.7978, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Epoch 1/5, Loss: 0.2643
Epoch 2/5, Loss: 0.2909
Epoch 3/5, Loss: 0.2710
Epoch 4/5, Loss: 0.2494
Epoch 5/5, Loss: 0.2330
Round 195: Accuracy = 0.7978, Decision = True
