t,accuracy,loss,decision
85,0.8382,0.06197779820561409,0
86,0.8379,0.06751908165276051,0
87,0.8373,0.07299155915021896,0
88,0.837,0.07629010021865368,0
89,0.836,0.08157798888742923,0
90,0.8365,0.08510777203559876,0
91,0.8363,0.09089723081171512,0
92,0.8361,0.06424909472790645,1
93,0.8402,0.0339923146019876,0
94,0.8395,0.03787519610613584,0
95,0.8403,0.04094906535804272,0
96,0.84,0.0454250450527668,0
97,0.8396,0.04937006778120995,0
98,0.8392,0.05498455781519413,0
99,0.8387,0.05769442592746319,1
100,0.8397,0.04179976373896003,0
101,0.8403,0.04735616473309696,0
102,0.8396,0.05354029835864901,0
103,0.8391,0.05889466138586402,0
104,0.8386,0.06619053712338209,0
105,0.8378,0.05243905998530911,1
106,0.8393,0.02011907108306885,0
107,0.8394,0.02407983953356743,0
108,0.8396,0.02901498046204448,0
109,0.8395,0.03427373063888401,0
110,0.8392,0.04146969944342971,0
111,0.8387,0.04589981762200594,0
112,0.8386,0.05544666306820134,1
113,0.8414,0.02216732481956482,0
114,0.8416,0.025849374576583505,0
115,0.8412,0.04121013049532295,1
116,0.8384,0.01718190730860457,0
117,0.8381,0.021339933682493865,0
118,0.837,0.02667694053575746,0
119,0.8382,0.04551241127351332,1
120,0.8401,0.017634265842363238,0
121,0.84,0.022468818770982325,0
122,0.8395,0.0270207486163266,0
123,0.8388,0.032580746865943075,0
124,0.8379,0.037592680326774715,0
125,0.8372,0.04572869641055791,1
126,0.8309,0.0182400428067334,0
127,0.8304,0.0243915413569659,0
128,0.8301,0.040615399136192214,1
129,0.8217,0.04414125626295805,0
130,0.8216,0.03975802143127449,1
131,0.8178,0.05250888775169849,0
132,0.8175,0.06011006403982639,0
133,0.8157,0.06840951731801033,0
134,0.8151,0.03989243352897507,1
135,0.8234,0.03026317933034152,0
136,0.823,0.03920380208350718,0
137,0.8221,0.03938191083096572,1
138,0.825,0.024450682524852455,0
139,0.8244,0.031278158980309965,0
140,0.8237,0.04019967986322939,0
141,0.8228,0.047555007249303165,0
142,0.8221,0.04310077616291822,1
143,0.8199,0.03730669585876167,0
144,0.818,0.04385675567459315,0
145,0.8166,0.036634633009044494,1
146,0.8243,0.015709755556778983,0
147,0.8241,0.02300662680982612,0
148,0.8238,0.038674800180517034,1
149,0.8105,0.03420694052487612,0
150,0.8102,0.04308249008238316,0
151,0.8093,0.0361965462063288,1
152,0.8229,0.01773829929132946,0
153,0.8232,0.024947912722304462,0
154,0.8226,0.03284979839980602,0
155,0.8222,0.041194474452883004,0
156,0.8218,0.04907974943293724,0
157,0.8216,0.05791040942985565,0
158,0.8208,0.06951720906816423,0
159,0.8199,0.07548304226190783,0
160,0.8199,0.08456100500710309,0
161,0.8198,0.09535937788367271,0
162,0.8184,0.1025648062487971,0
163,0.8179,0.11059389467526227,0
164,0.8172,0.11705801432028413,0
165,0.8164,0.1261063133275509,0
166,0.816,0.13259626941919328,0
167,0.8157,0.13946933004379272,0
168,0.815,0.14850893560290337,0
169,0.8143,0.15694026568681002,0
170,0.8133,0.16663567248165606,0
171,0.8123,0.17681752828359604,0
172,0.8113,0.18209745462954044,0
173,0.8107,0.190465459471941,0
174,0.8104,0.19603699157238005,0
175,0.8092,0.2007810329055786,0
176,0.8085,0.20591828810214996,0
177,0.807,0.2125482178592682,0
178,0.806,0.21757328540563584,0
179,0.8041,0.22604904414892196,0
180,0.8033,0.2326510766220093,0
181,0.802,0.10438845251797631,1
182,0.8085,0.030278630669414996,0
183,0.8086,0.038683611472398044,0
184,0.8077,0.04800170698617597,1
185,0.8099,0.019333151148557663,0
186,0.8085,0.02734484410122037,0
187,0.8084,0.043973500317836756,1
188,0.8051,0.032482995926551524,0
189,0.8058,0.04212235437437892,0
190,0.8044,0.055301496297866105,0
191,0.8037,0.06360359846889972,0
192,0.8032,0.07118269107043743,0
193,0.8019,0.08092155134558678,0
194,0.8014,0.09297780230760574,0
195,0.8005,0.10192957818627357,0
196,0.8,0.11260289602994919,0
197,0.7996,0.06747653348953611,1
198,0.8039,0.0229035925270617,0
199,0.8032,0.030436921857222916,0
