Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8980, Test accuracy: 0.8401
Round 48: Accuracy = 0.7622, Loss = 0.6339, Decision = 0
Round 49: Accuracy = 0.7603, Loss = 0.6426, Decision = 0
Round 50: Accuracy = 0.7582, Loss = 0.6513, Decision = 0
Round 51: Accuracy = 0.7565, Loss = 0.6600, Decision = 0
Round 52: Accuracy = 0.7543, Loss = 0.6687, Decision = 0
Round 53: Accuracy = 0.7524, Loss = 0.6775, Decision = 0
Round 54: Accuracy = 0.7506, Loss = 0.6864, Decision = 0
Round 55: Accuracy = 0.7472, Loss = 0.6961, Decision = 0
Round 56: Accuracy = 0.7458, Loss = 0.7044, Decision = 0
Round 57: Accuracy = 0.7435, Loss = 0.7135, Decision = 0
Round 58: Accuracy = 0.7414, Loss = 0.7229, Decision = 0
Round 59: Accuracy = 0.7395, Loss = 0.7320, Decision = 0
Round 60: Accuracy = 0.7377, Loss = 0.7407, Decision = 0
Round 61: Accuracy = 0.7357, Loss = 0.7499, Decision = 0
Round 62: Accuracy = 0.7340, Loss = 0.7599, Decision = 0
Round 63: Accuracy = 0.7311, Loss = 0.7696, Decision = 0
Round 64: Accuracy = 0.7288, Loss = 0.7797, Decision = 0
Round 65: Accuracy = 0.7269, Loss = 0.7900, Decision = 0
Round 66: Accuracy = 0.7251, Loss = 0.7999, Decision = 0
Round 67: Accuracy = 0.7237, Loss = 0.8101, Decision = 0
Round 68: Accuracy = 0.7208, Loss = 0.8209, Decision = 0
Round 69: Accuracy = 0.7179, Loss = 0.8310, Decision = 0
Round 70: Accuracy = 0.7152, Loss = 0.8417, Decision = 0
Round 71: Accuracy = 0.7136, Loss = 0.8526, Decision = 0
Round 72: Accuracy = 0.7109, Loss = 0.8641, Decision = 0
Round 73: Accuracy = 0.7081, Loss = 0.8744, Decision = 0
Round 74: Accuracy = 0.7059, Loss = 0.8848, Decision = 0
Round 75: Accuracy = 0.7040, Loss = 0.8952, Decision = 0
Round 76: Accuracy = 0.7014, Loss = 0.9063, Decision = 0
Round 77: Accuracy = 0.6997, Loss = 0.9174, Decision = 0
Round 78: Accuracy = 0.6971, Loss = 0.9283, Decision = 0
Round 79: Accuracy = 0.6949, Loss = 0.9383, Decision = 0
Round 80: Accuracy = 0.6931, Loss = 0.9495, Decision = 0
Round 81: Accuracy = 0.6908, Loss = 0.9597, Decision = 0
Round 82: Accuracy = 0.6882, Loss = 0.9704, Decision = 0
Round 83: Accuracy = 0.6860, Loss = 0.9813, Decision = 0
Round 84: Accuracy = 0.6841, Loss = 0.9919, Decision = 0
Round 85: Accuracy = 0.6815, Loss = 1.0028, Decision = 0
Round 86: Accuracy = 0.6790, Loss = 1.0138, Decision = 0
Round 87: Accuracy = 0.6764, Loss = 1.0249, Decision = 0
Round 88: Accuracy = 0.6745, Loss = 1.0360, Decision = 0
Round 89: Accuracy = 0.6720, Loss = 1.0479, Decision = 0
Round 90: Accuracy = 0.6698, Loss = 1.0593, Decision = 0
Round 91: Accuracy = 0.6671, Loss = 1.0705, Decision = 0
Round 92: Accuracy = 0.6637, Loss = 1.0817, Decision = 0
Round 93: Accuracy = 0.6612, Loss = 1.0934, Decision = 0
Round 94: Accuracy = 0.6586, Loss = 1.1048, Decision = 0
Round 95: Accuracy = 0.6555, Loss = 1.1159, Decision = 0
Round 96: Accuracy = 0.6527, Loss = 1.1275, Decision = 0
Round 97: Accuracy = 0.6492, Loss = 1.1387, Decision = 0
Round 98: Accuracy = 0.6468, Loss = 1.1509, Decision = 0
Round 99: Accuracy = 0.6436, Loss = 1.1620, Decision = 0
Round 100: Accuracy = 0.6410, Loss = 1.1738, Decision = 0
Round 101: Accuracy = 0.6390, Loss = 1.1851, Decision = 0
Round 102: Accuracy = 0.6370, Loss = 1.1972, Decision = 0
Round 103: Accuracy = 0.6342, Loss = 1.2096, Decision = 0
Round 104: Accuracy = 0.6314, Loss = 1.2217, Decision = 0
Round 105: Accuracy = 0.6291, Loss = 1.2335, Decision = 0
Round 106: Accuracy = 0.6255, Loss = 1.2448, Decision = 0
Round 107: Accuracy = 0.6233, Loss = 1.2566, Decision = 0
Round 108: Accuracy = 0.6211, Loss = 1.2695, Decision = 0
Round 109: Accuracy = 0.6193, Loss = 1.2814, Decision = 0
Round 110: Accuracy = 0.6167, Loss = 1.2941, Decision = 0
Round 111: Accuracy = 0.6139, Loss = 1.3066, Decision = 0
Round 112: Accuracy = 0.6110, Loss = 1.3188, Decision = 0
Round 113: Accuracy = 0.6087, Loss = 1.3310, Decision = 0
Round 114: Accuracy = 0.6065, Loss = 1.3440, Decision = 0
Round 115: Accuracy = 0.6050, Loss = 1.3566, Decision = 0
Round 116: Accuracy = 0.6038, Loss = 1.3690, Decision = 0
Round 117: Accuracy = 0.6010, Loss = 1.3806, Decision = 0
Round 118: Accuracy = 0.5982, Loss = 1.3928, Decision = 0
Round 119: Accuracy = 0.5962, Loss = 1.4054, Decision = 0
Round 120: Accuracy = 0.5938, Loss = 1.4187, Decision = 0
Round 121: Accuracy = 0.5908, Loss = 1.4314, Decision = 0
Round 122: Accuracy = 0.5883, Loss = 1.4445, Decision = 0
Round 123: Accuracy = 0.5859, Loss = 1.4570, Decision = 0
Round 124: Accuracy = 0.5828, Loss = 1.4704, Decision = 0
Round 125: Accuracy = 0.5801, Loss = 1.4835, Decision = 0
Round 126: Accuracy = 0.5769, Loss = 1.4965, Decision = 0
Round 127: Accuracy = 0.5745, Loss = 1.5090, Decision = 0
Round 128: Accuracy = 0.5723, Loss = 1.5213, Decision = 0
Round 129: Accuracy = 0.5697, Loss = 1.5334, Decision = 0
Round 130: Accuracy = 0.5662, Loss = 1.5456, Decision = 0
Round 131: Accuracy = 0.5642, Loss = 1.5580, Decision = 0
Round 132: Accuracy = 0.5620, Loss = 1.5710, Decision = 0
Round 133: Accuracy = 0.5598, Loss = 1.5846, Decision = 0
Round 134: Accuracy = 0.5564, Loss = 1.5972, Decision = 0
Round 135: Accuracy = 0.5536, Loss = 1.6097, Decision = 0
Round 136: Accuracy = 0.5513, Loss = 1.6221, Decision = 0
Round 137: Accuracy = 0.5488, Loss = 1.6345, Decision = 0
Round 138: Accuracy = 0.5463, Loss = 1.6473, Decision = 0
Round 139: Accuracy = 0.5433, Loss = 1.6596, Decision = 0
Round 140: Accuracy = 0.5408, Loss = 1.6732, Decision = 0
Round 141: Accuracy = 0.5382, Loss = 1.6854, Decision = 0
Round 142: Accuracy = 0.5362, Loss = 1.6974, Decision = 0
Round 143: Accuracy = 0.5336, Loss = 1.7103, Decision = 0
Round 144: Accuracy = 0.5316, Loss = 1.7235, Decision = 0
Round 145: Accuracy = 0.5287, Loss = 1.7369, Decision = 0
Round 146: Accuracy = 0.5261, Loss = 1.7506, Decision = 0
Round 147: Accuracy = 0.5239, Loss = 1.7641, Decision = 0
Round 148: Accuracy = 0.5213, Loss = 1.7778, Decision = 0
Round 149: Accuracy = 0.5191, Loss = 1.7908, Decision = 0
Round 150: Accuracy = 0.5169, Loss = 1.8036, Decision = 0
Round 151: Accuracy = 0.5146, Loss = 1.8167, Decision = 0
Round 152: Accuracy = 0.5128, Loss = 1.8289, Decision = 0
Round 153: Accuracy = 0.5105, Loss = 1.8412, Decision = 0
Round 154: Accuracy = 0.5075, Loss = 1.8540, Decision = 0
Round 155: Accuracy = 0.5058, Loss = 1.8664, Decision = 0
Round 156: Accuracy = 0.5033, Loss = 1.8792, Decision = 0
Round 157: Accuracy = 0.5018, Loss = 1.8917, Decision = 0
Round 158: Accuracy = 0.4980, Loss = 1.9044, Decision = 0
Round 159: Accuracy = 0.4964, Loss = 1.9172, Decision = 0
Round 160: Accuracy = 0.4932, Loss = 1.9298, Decision = 0
Round 161: Accuracy = 0.4909, Loss = 1.9423, Decision = 0
Round 162: Accuracy = 0.4871, Loss = 1.9545, Decision = 0
Round 163: Accuracy = 0.4849, Loss = 1.9678, Decision = 0
Round 164: Accuracy = 0.4822, Loss = 1.9802, Decision = 0
Round 165: Accuracy = 0.4800, Loss = 1.9920, Decision = 0
Round 166: Accuracy = 0.4772, Loss = 2.0030, Decision = 0
Round 167: Accuracy = 0.4744, Loss = 2.0156, Decision = 0
Round 168: Accuracy = 0.4718, Loss = 2.0272, Decision = 0
Round 169: Accuracy = 0.4689, Loss = 2.0400, Decision = 0
Round 170: Accuracy = 0.4663, Loss = 2.0526, Decision = 0
Round 171: Accuracy = 0.4644, Loss = 2.0648, Decision = 0
Round 172: Accuracy = 0.4616, Loss = 2.0770, Decision = 0
Round 173: Accuracy = 0.4592, Loss = 2.0886, Decision = 0
Round 174: Accuracy = 0.4571, Loss = 2.1012, Decision = 0
Round 175: Accuracy = 0.4545, Loss = 2.1138, Decision = 0
Round 176: Accuracy = 0.4522, Loss = 2.1261, Decision = 0
Round 177: Accuracy = 0.4501, Loss = 2.1384, Decision = 0
Round 178: Accuracy = 0.4478, Loss = 2.1501, Decision = 0
Round 179: Accuracy = 0.4448, Loss = 2.1629, Decision = 0
Round 180: Accuracy = 0.4425, Loss = 2.1745, Decision = 0
Round 181: Accuracy = 0.4408, Loss = 2.1869, Decision = 0
Round 182: Accuracy = 0.4386, Loss = 2.1990, Decision = 0
Round 183: Accuracy = 0.4363, Loss = 2.2104, Decision = 0
Round 184: Accuracy = 0.4336, Loss = 2.2221, Decision = 0
Round 185: Accuracy = 0.4316, Loss = 2.2338, Decision = 0
Round 186: Accuracy = 0.4297, Loss = 2.2457, Decision = 0
Round 187: Accuracy = 0.4279, Loss = 2.2581, Decision = 0
Round 188: Accuracy = 0.4253, Loss = 2.2693, Decision = 0
Round 189: Accuracy = 0.4225, Loss = 2.2810, Decision = 0
Round 190: Accuracy = 0.4204, Loss = 2.2939, Decision = 0
Round 191: Accuracy = 0.4174, Loss = 2.3056, Decision = 0
Round 192: Accuracy = 0.4148, Loss = 2.3178, Decision = 0
Round 193: Accuracy = 0.4134, Loss = 2.3286, Decision = 0
Round 194: Accuracy = 0.4111, Loss = 2.3400, Decision = 0
Round 195: Accuracy = 0.4091, Loss = 2.3502, Decision = 0
Round 196: Accuracy = 0.4070, Loss = 2.3614, Decision = 0
Round 197: Accuracy = 0.4043, Loss = 2.3728, Decision = 0
Round 198: Accuracy = 0.4014, Loss = 2.3840, Decision = 0
Round 199: Accuracy = 0.3989, Loss = 2.3961, Decision = 0
