Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8980, Test accuracy: 0.8401
Round 61: Accuracy = 0.7899, Loss = 0.5145, Decision = 0
Round 62: Accuracy = 0.7886, Loss = 0.5188, Decision = 0
Round 63: Accuracy = 0.7878, Loss = 0.5227, Decision = 0
Round 64: Accuracy = 0.7870, Loss = 0.5266, Decision = 0
Round 65: Accuracy = 0.7860, Loss = 0.5314, Decision = 0
Round 66: Accuracy = 0.7857, Loss = 0.5352, Decision = 0
Round 67: Accuracy = 0.7848, Loss = 0.5399, Decision = 0
Round 68: Accuracy = 0.7835, Loss = 0.5444, Decision = 0
Round 69: Accuracy = 0.7829, Loss = 0.5489, Decision = 0
Round 70: Accuracy = 0.7821, Loss = 0.5534, Decision = 0
Round 71: Accuracy = 0.7810, Loss = 0.5580, Decision = 0
Round 72: Accuracy = 0.7796, Loss = 0.5620, Decision = 0
Round 73: Accuracy = 0.7785, Loss = 0.5659, Decision = 0
Round 74: Accuracy = 0.7768, Loss = 0.5700, Decision = 0
Round 75: Accuracy = 0.7756, Loss = 0.5743, Decision = 0
Round 76: Accuracy = 0.7749, Loss = 0.5782, Decision = 0
Round 77: Accuracy = 0.7737, Loss = 0.5829, Decision = 0
Round 78: Accuracy = 0.7728, Loss = 0.5865, Decision = 0
Round 79: Accuracy = 0.7717, Loss = 0.5909, Decision = 0
Round 80: Accuracy = 0.7707, Loss = 0.5958, Decision = 0
Round 81: Accuracy = 0.7696, Loss = 0.6004, Decision = 0
Round 82: Accuracy = 0.7690, Loss = 0.6052, Decision = 0
Round 83: Accuracy = 0.7679, Loss = 0.6101, Decision = 0
Round 84: Accuracy = 0.7674, Loss = 0.6150, Decision = 0
Round 85: Accuracy = 0.7664, Loss = 0.6193, Decision = 0
Round 86: Accuracy = 0.7653, Loss = 0.6244, Decision = 0
Round 87: Accuracy = 0.7642, Loss = 0.6293, Decision = 0
Round 88: Accuracy = 0.7635, Loss = 0.6339, Decision = 0
Round 89: Accuracy = 0.7626, Loss = 0.6381, Decision = 0
Round 90: Accuracy = 0.7616, Loss = 0.6430, Decision = 0
Round 91: Accuracy = 0.7598, Loss = 0.6480, Decision = 0
Round 92: Accuracy = 0.7585, Loss = 0.6531, Decision = 0
Round 93: Accuracy = 0.7572, Loss = 0.6580, Decision = 0
Round 94: Accuracy = 0.7563, Loss = 0.6629, Decision = 0
Round 95: Accuracy = 0.7552, Loss = 0.6679, Decision = 0
Round 96: Accuracy = 0.7535, Loss = 0.6733, Decision = 0
Round 97: Accuracy = 0.7520, Loss = 0.6782, Decision = 0
Round 98: Accuracy = 0.7511, Loss = 0.6841, Decision = 0
Round 99: Accuracy = 0.7502, Loss = 0.6893, Decision = 0
Round 100: Accuracy = 0.7490, Loss = 0.6936, Decision = 0
Round 101: Accuracy = 0.7477, Loss = 0.6982, Decision = 0
Round 102: Accuracy = 0.7470, Loss = 0.7030, Decision = 0
Round 103: Accuracy = 0.7455, Loss = 0.7079, Decision = 0
Round 104: Accuracy = 0.7444, Loss = 0.7130, Decision = 0
Round 105: Accuracy = 0.7435, Loss = 0.7179, Decision = 0
Round 106: Accuracy = 0.7421, Loss = 0.7234, Decision = 0
Round 107: Accuracy = 0.7405, Loss = 0.7283, Decision = 0
Round 108: Accuracy = 0.7400, Loss = 0.7336, Decision = 0
Round 109: Accuracy = 0.7387, Loss = 0.7388, Decision = 0
Round 110: Accuracy = 0.7379, Loss = 0.7445, Decision = 0
Round 111: Accuracy = 0.7364, Loss = 0.7496, Decision = 0
Round 112: Accuracy = 0.7352, Loss = 0.7540, Decision = 0
Round 113: Accuracy = 0.7342, Loss = 0.7591, Decision = 0
Round 114: Accuracy = 0.7324, Loss = 0.7643, Decision = 0
Round 115: Accuracy = 0.7310, Loss = 0.7687, Decision = 0
Round 116: Accuracy = 0.7298, Loss = 0.7739, Decision = 0
Round 117: Accuracy = 0.7288, Loss = 0.7792, Decision = 0
Round 118: Accuracy = 0.7276, Loss = 0.7846, Decision = 0
Round 119: Accuracy = 0.7263, Loss = 0.7902, Decision = 0
Round 120: Accuracy = 0.7249, Loss = 0.7959, Decision = 0
Round 121: Accuracy = 0.7234, Loss = 0.8014, Decision = 0
Round 122: Accuracy = 0.7225, Loss = 0.8057, Decision = 0
Round 123: Accuracy = 0.7216, Loss = 0.8110, Decision = 0
Round 124: Accuracy = 0.7210, Loss = 0.8158, Decision = 0
Round 125: Accuracy = 0.7198, Loss = 0.8212, Decision = 0
Round 126: Accuracy = 0.7182, Loss = 0.8272, Decision = 0
Round 127: Accuracy = 0.7172, Loss = 0.8321, Decision = 0
Round 128: Accuracy = 0.7157, Loss = 0.8381, Decision = 0
Round 129: Accuracy = 0.7147, Loss = 0.8438, Decision = 0
Round 130: Accuracy = 0.7136, Loss = 0.8486, Decision = 0
Round 131: Accuracy = 0.7122, Loss = 0.8546, Decision = 0
Round 132: Accuracy = 0.7107, Loss = 0.8605, Decision = 0
Round 133: Accuracy = 0.7095, Loss = 0.8660, Decision = 0
Round 134: Accuracy = 0.7089, Loss = 0.8718, Decision = 0
Round 135: Accuracy = 0.7080, Loss = 0.8767, Decision = 0
Round 136: Accuracy = 0.7074, Loss = 0.8816, Decision = 0
Round 137: Accuracy = 0.7067, Loss = 0.8885, Decision = 0
Round 138: Accuracy = 0.7054, Loss = 0.8943, Decision = 0
Round 139: Accuracy = 0.7039, Loss = 0.9002, Decision = 0
Round 140: Accuracy = 0.7024, Loss = 0.9056, Decision = 0
Round 141: Accuracy = 0.7010, Loss = 0.9116, Decision = 0
Round 142: Accuracy = 0.6996, Loss = 0.9171, Decision = 0
Round 143: Accuracy = 0.6989, Loss = 0.9229, Decision = 0
Round 144: Accuracy = 0.6978, Loss = 0.9286, Decision = 0
Round 145: Accuracy = 0.6967, Loss = 0.9342, Decision = 0
Round 146: Accuracy = 0.6955, Loss = 0.9401, Decision = 0
Round 147: Accuracy = 0.6940, Loss = 0.9461, Decision = 0
Round 148: Accuracy = 0.6929, Loss = 0.9511, Decision = 0
Round 149: Accuracy = 0.6918, Loss = 0.9571, Decision = 0
Round 150: Accuracy = 0.6912, Loss = 0.9626, Decision = 0
Round 151: Accuracy = 0.6905, Loss = 0.9684, Decision = 0
Round 152: Accuracy = 0.6897, Loss = 0.9744, Decision = 0
Round 153: Accuracy = 0.6882, Loss = 0.9798, Decision = 0
Round 154: Accuracy = 0.6871, Loss = 0.9860, Decision = 0
Round 155: Accuracy = 0.6861, Loss = 0.9917, Decision = 0
Round 156: Accuracy = 0.6850, Loss = 0.9977, Decision = 0
Round 157: Accuracy = 0.6834, Loss = 1.0038, Decision = 0
Round 158: Accuracy = 0.6818, Loss = 1.0103, Decision = 0
Round 159: Accuracy = 0.6801, Loss = 1.0163, Decision = 0
Round 160: Accuracy = 0.6785, Loss = 1.0223, Decision = 0
Round 161: Accuracy = 0.6775, Loss = 1.0280, Decision = 0
Round 162: Accuracy = 0.6767, Loss = 1.0343, Decision = 0
Round 163: Accuracy = 0.6754, Loss = 1.0412, Decision = 0
Round 164: Accuracy = 0.6740, Loss = 1.0466, Decision = 0
Round 165: Accuracy = 0.6728, Loss = 1.0524, Decision = 0
Round 166: Accuracy = 0.6712, Loss = 1.0585, Decision = 0
Round 167: Accuracy = 0.6696, Loss = 1.0654, Decision = 0
Round 168: Accuracy = 0.6684, Loss = 1.0716, Decision = 0
Round 169: Accuracy = 0.6670, Loss = 1.0781, Decision = 0
Round 170: Accuracy = 0.6656, Loss = 1.0836, Decision = 0
Round 171: Accuracy = 0.6643, Loss = 1.0898, Decision = 0
Round 172: Accuracy = 0.6624, Loss = 1.0966, Decision = 0
Round 173: Accuracy = 0.6613, Loss = 1.1023, Decision = 0
Round 174: Accuracy = 0.6602, Loss = 1.1084, Decision = 0
Round 175: Accuracy = 0.6584, Loss = 1.1140, Decision = 0
Round 176: Accuracy = 0.6573, Loss = 1.1196, Decision = 0
Round 177: Accuracy = 0.6563, Loss = 1.1256, Decision = 0
Round 178: Accuracy = 0.6554, Loss = 1.1316, Decision = 0
Round 179: Accuracy = 0.6539, Loss = 1.1377, Decision = 0
Round 180: Accuracy = 0.6520, Loss = 1.1439, Decision = 0
Round 181: Accuracy = 0.6504, Loss = 1.1493, Decision = 0
Round 182: Accuracy = 0.6493, Loss = 1.1561, Decision = 0
Round 183: Accuracy = 0.6481, Loss = 1.1620, Decision = 0
Round 184: Accuracy = 0.6472, Loss = 1.1680, Decision = 0
Round 185: Accuracy = 0.6463, Loss = 1.1740, Decision = 0
Round 186: Accuracy = 0.6446, Loss = 1.1799, Decision = 0
Round 187: Accuracy = 0.6436, Loss = 1.1863, Decision = 0
Round 188: Accuracy = 0.6426, Loss = 1.1920, Decision = 0
Round 189: Accuracy = 0.6410, Loss = 1.1980, Decision = 0
Round 190: Accuracy = 0.6401, Loss = 1.2046, Decision = 0
Round 191: Accuracy = 0.6386, Loss = 1.2104, Decision = 0
Round 192: Accuracy = 0.6372, Loss = 1.2162, Decision = 0
Round 193: Accuracy = 0.6352, Loss = 1.2217, Decision = 0
Round 194: Accuracy = 0.6341, Loss = 1.2275, Decision = 0
Round 195: Accuracy = 0.6321, Loss = 1.2334, Decision = 0
Round 196: Accuracy = 0.6311, Loss = 1.2395, Decision = 0
Round 197: Accuracy = 0.6302, Loss = 1.2456, Decision = 0
Round 198: Accuracy = 0.6295, Loss = 1.2520, Decision = 0
Round 199: Accuracy = 0.6281, Loss = 1.2582, Decision = 0
