Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8832, Test accuracy: 0.8322
Round 148: Accuracy = 0.8026, Loss = 0.3595, Decision = 0
Epoch 1/5, Loss: 0.2093
Epoch 2/5, Loss: 0.1735
Epoch 3/5, Loss: 0.1414
Epoch 4/5, Loss: 0.1335
Epoch 5/5, Loss: 0.1177
Round 149: Accuracy = 0.8015, Loss = 0.1551, Decision = 1
Round 150: Accuracy = 0.8442, Loss = 0.0840, Decision = 0
Round 151: Accuracy = 0.8443, Loss = 0.0848, Decision = 0
Round 152: Accuracy = 0.8438, Loss = 0.0855, Decision = 0
Round 153: Accuracy = 0.8433, Loss = 0.0862, Decision = 0
Round 154: Accuracy = 0.8434, Loss = 0.0868, Decision = 0
Round 155: Accuracy = 0.8431, Loss = 0.0880, Decision = 0
Round 156: Accuracy = 0.8431, Loss = 0.0890, Decision = 0
Round 157: Accuracy = 0.8429, Loss = 0.0899, Decision = 0
Round 158: Accuracy = 0.8426, Loss = 0.0907, Decision = 0
Round 159: Accuracy = 0.8422, Loss = 0.0915, Decision = 0
Round 160: Accuracy = 0.8417, Loss = 0.0922, Decision = 0
Round 161: Accuracy = 0.8411, Loss = 0.0934, Decision = 0
Round 162: Accuracy = 0.8407, Loss = 0.0946, Decision = 0
Round 163: Accuracy = 0.8404, Loss = 0.0957, Decision = 0
Round 164: Accuracy = 0.8400, Loss = 0.0968, Decision = 0
Round 165: Accuracy = 0.8401, Loss = 0.0977, Decision = 0
Round 166: Accuracy = 0.8395, Loss = 0.0988, Decision = 0
Round 167: Accuracy = 0.8395, Loss = 0.1004, Decision = 0
Round 168: Accuracy = 0.8395, Loss = 0.1016, Decision = 0
Round 169: Accuracy = 0.8393, Loss = 0.1028, Decision = 0
Round 170: Accuracy = 0.8388, Loss = 0.1039, Decision = 0
Round 171: Accuracy = 0.8385, Loss = 0.1049, Decision = 0
Round 172: Accuracy = 0.8387, Loss = 0.1061, Decision = 0
Round 173: Accuracy = 0.8386, Loss = 0.1074, Decision = 0
Round 174: Accuracy = 0.8382, Loss = 0.1086, Decision = 0
Round 175: Accuracy = 0.8385, Loss = 0.1101, Decision = 0
Round 176: Accuracy = 0.8382, Loss = 0.1113, Decision = 0
Round 177: Accuracy = 0.8374, Loss = 0.1126, Decision = 0
Round 178: Accuracy = 0.8369, Loss = 0.1140, Decision = 0
Round 179: Accuracy = 0.8364, Loss = 0.1154, Decision = 0
Round 180: Accuracy = 0.8360, Loss = 0.1168, Decision = 0
Round 181: Accuracy = 0.8357, Loss = 0.1185, Decision = 0
Round 182: Accuracy = 0.8354, Loss = 0.1203, Decision = 0
Round 183: Accuracy = 0.8350, Loss = 0.1216, Decision = 0
Round 184: Accuracy = 0.8345, Loss = 0.1228, Decision = 0
Round 185: Accuracy = 0.8346, Loss = 0.1246, Decision = 0
Round 186: Accuracy = 0.8348, Loss = 0.1261, Decision = 0
Round 187: Accuracy = 0.8343, Loss = 0.1277, Decision = 0
Round 188: Accuracy = 0.8341, Loss = 0.1296, Decision = 0
Round 189: Accuracy = 0.8336, Loss = 0.1312, Decision = 0
Round 190: Accuracy = 0.8333, Loss = 0.1328, Decision = 0
Round 191: Accuracy = 0.8326, Loss = 0.1343, Decision = 0
Round 192: Accuracy = 0.8325, Loss = 0.1358, Decision = 0
Round 193: Accuracy = 0.8321, Loss = 0.1380, Decision = 0
Round 194: Accuracy = 0.8313, Loss = 0.1401, Decision = 0
Round 195: Accuracy = 0.8307, Loss = 0.1418, Decision = 0
Round 196: Accuracy = 0.8303, Loss = 0.1436, Decision = 0
Round 197: Accuracy = 0.8298, Loss = 0.1459, Decision = 0
Round 198: Accuracy = 0.8297, Loss = 0.1476, Decision = 0
Round 199: Accuracy = 0.8293, Loss = 0.1494, Decision = 0
