Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8332, Test accuracy: 0.7913
/home/apiasecz/.conda/envs/cog_fl_llm_env/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch 1/5, Loss: 1.2177
Epoch 2/5, Loss: 0.7682
Epoch 3/5, Loss: 0.5965
Epoch 4/5, Loss: 0.4876
Epoch 5/5, Loss: 0.4105
Round 88: Accuracy = 0.8491, Loss = 0.1709, Decision = 0
Round 89: Accuracy = 0.8483, Loss = 0.1730, Decision = 0
Round 90: Accuracy = 0.8473, Loss = 0.1749, Decision = 0
Round 91: Accuracy = 0.8471, Loss = 0.1773, Decision = 0
Round 92: Accuracy = 0.8469, Loss = 0.1796, Decision = 0
Round 93: Accuracy = 0.8460, Loss = 0.1812, Decision = 0
Round 94: Accuracy = 0.8451, Loss = 0.1831, Decision = 0
Round 95: Accuracy = 0.8451, Loss = 0.1853, Decision = 0
Round 96: Accuracy = 0.8441, Loss = 0.1876, Decision = 0
Round 97: Accuracy = 0.8433, Loss = 0.1896, Decision = 0
Round 98: Accuracy = 0.8426, Loss = 0.1920, Decision = 0
Round 99: Accuracy = 0.8421, Loss = 0.1940, Decision = 0
Round 100: Accuracy = 0.8416, Loss = 0.1962, Decision = 0
Round 101: Accuracy = 0.8414, Loss = 0.1981, Decision = 0
Round 102: Accuracy = 0.8407, Loss = 0.2005, Decision = 0
Round 103: Accuracy = 0.8403, Loss = 0.2027, Decision = 0
Round 104: Accuracy = 0.8399, Loss = 0.2050, Decision = 0
Round 105: Accuracy = 0.8399, Loss = 0.2076, Decision = 0
Round 106: Accuracy = 0.8389, Loss = 0.2106, Decision = 0
Round 107: Accuracy = 0.8383, Loss = 0.2132, Decision = 0
Round 108: Accuracy = 0.8376, Loss = 0.2161, Decision = 0
Round 109: Accuracy = 0.8369, Loss = 0.2186, Decision = 0
Round 110: Accuracy = 0.8355, Loss = 0.2213, Decision = 0
Round 111: Accuracy = 0.8353, Loss = 0.2243, Decision = 0
Round 112: Accuracy = 0.8349, Loss = 0.2271, Decision = 0
Round 113: Accuracy = 0.8337, Loss = 0.2302, Decision = 0
Round 114: Accuracy = 0.8329, Loss = 0.2332, Decision = 0
Round 115: Accuracy = 0.8319, Loss = 0.2362, Decision = 0
Round 116: Accuracy = 0.8313, Loss = 0.2395, Decision = 0
Round 117: Accuracy = 0.8303, Loss = 0.2429, Decision = 0
