Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8332, Test accuracy: 0.7913
Round 139: Accuracy = 0.3243, Loss = 2.3769, Decision = 0
Round 140: Accuracy = 0.3225, Loss = 2.3837, Decision = 0
Round 141: Accuracy = 0.3201, Loss = 2.3912, Decision = 0
Round 142: Accuracy = 0.3182, Loss = 2.3984, Decision = 0
Round 143: Accuracy = 0.3156, Loss = 2.4059, Decision = 0
Round 144: Accuracy = 0.3127, Loss = 2.4136, Decision = 0
Round 145: Accuracy = 0.3095, Loss = 2.4209, Decision = 0
Round 146: Accuracy = 0.3072, Loss = 2.4279, Decision = 0
Round 147: Accuracy = 0.3050, Loss = 2.4333, Decision = 0
Round 148: Accuracy = 0.3018, Loss = 2.4398, Decision = 0
Round 149: Accuracy = 0.2992, Loss = 2.4467, Decision = 0
Round 150: Accuracy = 0.2967, Loss = 2.4532, Decision = 0
Round 151: Accuracy = 0.2931, Loss = 2.4595, Decision = 0
Round 152: Accuracy = 0.2917, Loss = 2.4661, Decision = 0
Round 153: Accuracy = 0.2898, Loss = 2.4729, Decision = 0
Round 154: Accuracy = 0.2870, Loss = 2.4797, Decision = 0
Round 155: Accuracy = 0.2841, Loss = 2.4868, Decision = 0
Round 156: Accuracy = 0.2818, Loss = 2.4928, Decision = 0
Round 157: Accuracy = 0.2791, Loss = 2.4988, Decision = 0
Round 158: Accuracy = 0.2771, Loss = 2.5053, Decision = 0
Round 159: Accuracy = 0.2748, Loss = 2.5096, Decision = 0
Round 160: Accuracy = 0.2734, Loss = 2.5148, Decision = 0
Round 161: Accuracy = 0.2711, Loss = 2.5201, Decision = 0
Round 162: Accuracy = 0.2694, Loss = 2.5253, Decision = 0
Round 163: Accuracy = 0.2676, Loss = 2.5302, Decision = 0
Round 164: Accuracy = 0.2660, Loss = 2.5361, Decision = 0
Round 165: Accuracy = 0.2644, Loss = 2.5405, Decision = 0
Round 166: Accuracy = 0.2625, Loss = 2.5456, Decision = 0
Round 167: Accuracy = 0.2613, Loss = 2.5495, Decision = 0
Round 168: Accuracy = 0.2590, Loss = 2.5553, Decision = 0
Round 169: Accuracy = 0.2564, Loss = 2.5601, Decision = 0
Round 170: Accuracy = 0.2539, Loss = 2.5657, Decision = 0
Round 171: Accuracy = 0.2519, Loss = 2.5696, Decision = 0
Round 172: Accuracy = 0.2504, Loss = 2.5731, Decision = 0
Round 173: Accuracy = 0.2482, Loss = 2.5771, Decision = 0
Round 174: Accuracy = 0.2456, Loss = 2.5814, Decision = 0
Round 175: Accuracy = 0.2447, Loss = 2.5856, Decision = 0
Round 176: Accuracy = 0.2427, Loss = 2.5888, Decision = 0
Round 177: Accuracy = 0.2411, Loss = 2.5938, Decision = 0
Round 178: Accuracy = 0.2386, Loss = 2.5980, Decision = 0
Round 179: Accuracy = 0.2376, Loss = 2.6012, Decision = 0
Round 180: Accuracy = 0.2358, Loss = 2.6053, Decision = 0
Round 181: Accuracy = 0.2344, Loss = 2.6093, Decision = 0
Round 182: Accuracy = 0.2334, Loss = 2.6121, Decision = 0
Round 183: Accuracy = 0.2314, Loss = 2.6157, Decision = 0
Round 184: Accuracy = 0.2300, Loss = 2.6189, Decision = 0
Round 185: Accuracy = 0.2285, Loss = 2.6221, Decision = 0
Round 186: Accuracy = 0.2277, Loss = 2.6257, Decision = 0
Round 187: Accuracy = 0.2265, Loss = 2.6285, Decision = 0
Round 188: Accuracy = 0.2242, Loss = 2.6323, Decision = 0
Round 189: Accuracy = 0.2225, Loss = 2.6346, Decision = 0
Round 190: Accuracy = 0.2209, Loss = 2.6364, Decision = 0
Round 191: Accuracy = 0.2201, Loss = 2.6387, Decision = 0
Round 192: Accuracy = 0.2189, Loss = 2.6410, Decision = 0
Round 193: Accuracy = 0.2177, Loss = 2.6440, Decision = 0
Round 194: Accuracy = 0.2161, Loss = 2.6471, Decision = 0
Round 195: Accuracy = 0.2142, Loss = 2.6490, Decision = 0
Round 196: Accuracy = 0.2125, Loss = 2.6523, Decision = 0
Round 197: Accuracy = 0.2114, Loss = 2.6543, Decision = 0
Round 198: Accuracy = 0.2094, Loss = 2.6564, Decision = 0
Round 199: Accuracy = 0.2077, Loss = 2.6591, Decision = 0
