Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8332, Test accuracy: 0.7913
Round 40: Accuracy = 0.7066, Loss = 0.8923, Decision = 0
Round 41: Accuracy = 0.7038, Loss = 0.9028, Decision = 0
Round 42: Accuracy = 0.7025, Loss = 0.9124, Decision = 0
Round 43: Accuracy = 0.6998, Loss = 0.9226, Decision = 0
Round 44: Accuracy = 0.6981, Loss = 0.9327, Decision = 0
Round 45: Accuracy = 0.6954, Loss = 0.9425, Decision = 0
Round 46: Accuracy = 0.6932, Loss = 0.9520, Decision = 0
Round 47: Accuracy = 0.6911, Loss = 0.9617, Decision = 0
Round 48: Accuracy = 0.6890, Loss = 0.9719, Decision = 0
Round 49: Accuracy = 0.6866, Loss = 0.9819, Decision = 0
Round 50: Accuracy = 0.6841, Loss = 0.9923, Decision = 0
Round 51: Accuracy = 0.6826, Loss = 1.0024, Decision = 0
Round 52: Accuracy = 0.6804, Loss = 1.0132, Decision = 0
Round 53: Accuracy = 0.6773, Loss = 1.0234, Decision = 0
Round 54: Accuracy = 0.6749, Loss = 1.0337, Decision = 0
Round 55: Accuracy = 0.6718, Loss = 1.0438, Decision = 0
Round 56: Accuracy = 0.6698, Loss = 1.0547, Decision = 0
Round 57: Accuracy = 0.6682, Loss = 1.0649, Decision = 0
Round 58: Accuracy = 0.6660, Loss = 1.0750, Decision = 0
Round 59: Accuracy = 0.6638, Loss = 1.0862, Decision = 0
Round 60: Accuracy = 0.6616, Loss = 1.0968, Decision = 0
Round 61: Accuracy = 0.6593, Loss = 1.1077, Decision = 0
Round 62: Accuracy = 0.6570, Loss = 1.1183, Decision = 0
Round 63: Accuracy = 0.6544, Loss = 1.1291, Decision = 0
Round 64: Accuracy = 0.6522, Loss = 1.1392, Decision = 0
Round 65: Accuracy = 0.6491, Loss = 1.1499, Decision = 0
Round 66: Accuracy = 0.6469, Loss = 1.1614, Decision = 0
Round 67: Accuracy = 0.6446, Loss = 1.1725, Decision = 0
Round 68: Accuracy = 0.6428, Loss = 1.1826, Decision = 0
Round 69: Accuracy = 0.6396, Loss = 1.1934, Decision = 0
Round 70: Accuracy = 0.6379, Loss = 1.2045, Decision = 0
Round 71: Accuracy = 0.6359, Loss = 1.2145, Decision = 0
Round 72: Accuracy = 0.6340, Loss = 1.2251, Decision = 0
Round 73: Accuracy = 0.6325, Loss = 1.2362, Decision = 0
Round 74: Accuracy = 0.6303, Loss = 1.2468, Decision = 0
Round 75: Accuracy = 0.6277, Loss = 1.2578, Decision = 0
Round 76: Accuracy = 0.6254, Loss = 1.2677, Decision = 0
Round 77: Accuracy = 0.6231, Loss = 1.2783, Decision = 0
Round 78: Accuracy = 0.6203, Loss = 1.2891, Decision = 0
Round 79: Accuracy = 0.6186, Loss = 1.2995, Decision = 0
Round 80: Accuracy = 0.6164, Loss = 1.3102, Decision = 0
Round 81: Accuracy = 0.6151, Loss = 1.3206, Decision = 0
Round 82: Accuracy = 0.6134, Loss = 1.3312, Decision = 0
Round 83: Accuracy = 0.6104, Loss = 1.3422, Decision = 0
Round 84: Accuracy = 0.6083, Loss = 1.3542, Decision = 0
Round 85: Accuracy = 0.6065, Loss = 1.3650, Decision = 0
Round 86: Accuracy = 0.6044, Loss = 1.3754, Decision = 0
Round 87: Accuracy = 0.6020, Loss = 1.3873, Decision = 0
Round 88: Accuracy = 0.5996, Loss = 1.3982, Decision = 0
Round 89: Accuracy = 0.5972, Loss = 1.4103, Decision = 0
Round 90: Accuracy = 0.5951, Loss = 1.4205, Decision = 0
Round 91: Accuracy = 0.5914, Loss = 1.4308, Decision = 0
Round 92: Accuracy = 0.5883, Loss = 1.4413, Decision = 0
Round 93: Accuracy = 0.5862, Loss = 1.4519, Decision = 0
Round 94: Accuracy = 0.5838, Loss = 1.4630, Decision = 0
Round 95: Accuracy = 0.5805, Loss = 1.4726, Decision = 0
Round 96: Accuracy = 0.5781, Loss = 1.4830, Decision = 0
Round 97: Accuracy = 0.5758, Loss = 1.4937, Decision = 0
Round 98: Accuracy = 0.5726, Loss = 1.5048, Decision = 0
Round 99: Accuracy = 0.5694, Loss = 1.5153, Decision = 0
Round 100: Accuracy = 0.5676, Loss = 1.5264, Decision = 0
Round 101: Accuracy = 0.5653, Loss = 1.5377, Decision = 0
Round 102: Accuracy = 0.5634, Loss = 1.5484, Decision = 0
Round 103: Accuracy = 0.5619, Loss = 1.5587, Decision = 0
Round 104: Accuracy = 0.5590, Loss = 1.5700, Decision = 0
Round 105: Accuracy = 0.5570, Loss = 1.5809, Decision = 0
Round 106: Accuracy = 0.5546, Loss = 1.5910, Decision = 0
Round 107: Accuracy = 0.5522, Loss = 1.6022, Decision = 0
Round 108: Accuracy = 0.5504, Loss = 1.6132, Decision = 0
Round 109: Accuracy = 0.5479, Loss = 1.6245, Decision = 0
Round 110: Accuracy = 0.5459, Loss = 1.6350, Decision = 0
Round 111: Accuracy = 0.5431, Loss = 1.6454, Decision = 0
Round 112: Accuracy = 0.5406, Loss = 1.6563, Decision = 0
Round 113: Accuracy = 0.5380, Loss = 1.6665, Decision = 0
Round 114: Accuracy = 0.5365, Loss = 1.6779, Decision = 0
Round 115: Accuracy = 0.5349, Loss = 1.6880, Decision = 0
Round 116: Accuracy = 0.5323, Loss = 1.6992, Decision = 0
Round 117: Accuracy = 0.5297, Loss = 1.7099, Decision = 0
Round 118: Accuracy = 0.5274, Loss = 1.7208, Decision = 0
Round 119: Accuracy = 0.5239, Loss = 1.7312, Decision = 0
Round 120: Accuracy = 0.5213, Loss = 1.7420, Decision = 0
Round 121: Accuracy = 0.5186, Loss = 1.7527, Decision = 0
Round 122: Accuracy = 0.5169, Loss = 1.7627, Decision = 0
Round 123: Accuracy = 0.5145, Loss = 1.7727, Decision = 0
Round 124: Accuracy = 0.5118, Loss = 1.7826, Decision = 0
Round 125: Accuracy = 0.5098, Loss = 1.7924, Decision = 0
Round 126: Accuracy = 0.5078, Loss = 1.8026, Decision = 0
Round 127: Accuracy = 0.5051, Loss = 1.8138, Decision = 0
Round 128: Accuracy = 0.5028, Loss = 1.8236, Decision = 0
Round 129: Accuracy = 0.4996, Loss = 1.8345, Decision = 0
Round 130: Accuracy = 0.4970, Loss = 1.8436, Decision = 0
Round 131: Accuracy = 0.4945, Loss = 1.8543, Decision = 0
Round 132: Accuracy = 0.4923, Loss = 1.8637, Decision = 0
Round 133: Accuracy = 0.4895, Loss = 1.8731, Decision = 0
Round 134: Accuracy = 0.4879, Loss = 1.8824, Decision = 0
Round 135: Accuracy = 0.4852, Loss = 1.8919, Decision = 0
Round 136: Accuracy = 0.4822, Loss = 1.9021, Decision = 0
Round 137: Accuracy = 0.4804, Loss = 1.9114, Decision = 0
Round 138: Accuracy = 0.4781, Loss = 1.9214, Decision = 0
Round 139: Accuracy = 0.4757, Loss = 1.9312, Decision = 0
Round 140: Accuracy = 0.4740, Loss = 1.9408, Decision = 0
Round 141: Accuracy = 0.4716, Loss = 1.9505, Decision = 0
Round 142: Accuracy = 0.4693, Loss = 1.9602, Decision = 0
Round 143: Accuracy = 0.4672, Loss = 1.9694, Decision = 0
Round 144: Accuracy = 0.4656, Loss = 1.9791, Decision = 0
Round 145: Accuracy = 0.4637, Loss = 1.9882, Decision = 0
Round 146: Accuracy = 0.4617, Loss = 1.9970, Decision = 0
Round 147: Accuracy = 0.4591, Loss = 2.0064, Decision = 0
Round 148: Accuracy = 0.4568, Loss = 2.0160, Decision = 0
Round 149: Accuracy = 0.4544, Loss = 2.0251, Decision = 0
Round 150: Accuracy = 0.4520, Loss = 2.0341, Decision = 0
Round 151: Accuracy = 0.4502, Loss = 2.0432, Decision = 0
Round 152: Accuracy = 0.4484, Loss = 2.0524, Decision = 0
Round 153: Accuracy = 0.4457, Loss = 2.0613, Decision = 0
Round 154: Accuracy = 0.4433, Loss = 2.0709, Decision = 0
Round 155: Accuracy = 0.4412, Loss = 2.0793, Decision = 0
Round 156: Accuracy = 0.4389, Loss = 2.0880, Decision = 0
Round 157: Accuracy = 0.4361, Loss = 2.0964, Decision = 0
Round 158: Accuracy = 0.4339, Loss = 2.1052, Decision = 0
Round 159: Accuracy = 0.4319, Loss = 2.1137, Decision = 0
Round 160: Accuracy = 0.4299, Loss = 2.1221, Decision = 0
Round 161: Accuracy = 0.4278, Loss = 2.1307, Decision = 0
Round 162: Accuracy = 0.4260, Loss = 2.1395, Decision = 0
Round 163: Accuracy = 0.4240, Loss = 2.1476, Decision = 0
Round 164: Accuracy = 0.4222, Loss = 2.1558, Decision = 0
Round 165: Accuracy = 0.4194, Loss = 2.1637, Decision = 0
Round 166: Accuracy = 0.4170, Loss = 2.1716, Decision = 0
Round 167: Accuracy = 0.4144, Loss = 2.1795, Decision = 0
Round 168: Accuracy = 0.4116, Loss = 2.1883, Decision = 0
Round 169: Accuracy = 0.4093, Loss = 2.1959, Decision = 0
Round 170: Accuracy = 0.4065, Loss = 2.2040, Decision = 0
Round 171: Accuracy = 0.4043, Loss = 2.2123, Decision = 0
Round 172: Accuracy = 0.4017, Loss = 2.2193, Decision = 0
Round 173: Accuracy = 0.3993, Loss = 2.2269, Decision = 0
Round 174: Accuracy = 0.3967, Loss = 2.2350, Decision = 0
Round 175: Accuracy = 0.3947, Loss = 2.2427, Decision = 0
Round 176: Accuracy = 0.3930, Loss = 2.2507, Decision = 0
Round 177: Accuracy = 0.3910, Loss = 2.2586, Decision = 0
Round 178: Accuracy = 0.3893, Loss = 2.2657, Decision = 0
Round 179: Accuracy = 0.3864, Loss = 2.2731, Decision = 0
Round 180: Accuracy = 0.3835, Loss = 2.2811, Decision = 0
Round 181: Accuracy = 0.3815, Loss = 2.2890, Decision = 0
Round 182: Accuracy = 0.3803, Loss = 2.2960, Decision = 0
Round 183: Accuracy = 0.3791, Loss = 2.3036, Decision = 0
Round 184: Accuracy = 0.3770, Loss = 2.3104, Decision = 0
Round 185: Accuracy = 0.3755, Loss = 2.3177, Decision = 0
Round 186: Accuracy = 0.3744, Loss = 2.3248, Decision = 0
Round 187: Accuracy = 0.3724, Loss = 2.3312, Decision = 0
Round 188: Accuracy = 0.3707, Loss = 2.3387, Decision = 0
Round 189: Accuracy = 0.3689, Loss = 2.3460, Decision = 0
Round 190: Accuracy = 0.3666, Loss = 2.3528, Decision = 0
Round 191: Accuracy = 0.3646, Loss = 2.3601, Decision = 0
Round 192: Accuracy = 0.3617, Loss = 2.3677, Decision = 0
Round 193: Accuracy = 0.3591, Loss = 2.3748, Decision = 0
Round 194: Accuracy = 0.3574, Loss = 2.3810, Decision = 0
Round 195: Accuracy = 0.3565, Loss = 2.3877, Decision = 0
Round 196: Accuracy = 0.3554, Loss = 2.3945, Decision = 0
Round 197: Accuracy = 0.3536, Loss = 2.4008, Decision = 0
Round 198: Accuracy = 0.3531, Loss = 2.4076, Decision = 0
Round 199: Accuracy = 0.3517, Loss = 2.4143, Decision = 0
